coefficient,median,lo,hi,p_positive,p_negative,size_conditioned,kind,cutoff,benchmark,phase,fold,prior_multiplier
log_size,0.08994537715659975,0.0464679817813397,0.130554554643934,1.0,0.0,False,M0size,1,growth,reference_screen,2022,1.0
log_size,0.18517190170184983,0.1431718751226656,0.22838695770970832,1.0,0.0,False,M0size,1,growth,reference_screen,2024,1.0
log_size,0.0662331967288629,0.028051932431733546,0.10315748843490594,0.9996875,0.0003125,False,M0size,5,growth,reference_screen,2022,1.0
log_size,0.12245378854133555,0.08613465199742629,0.1586932804553579,1.0,0.0,False,M0size,5,growth,reference_screen,2024,1.0
log_size,0.05654491990534902,0.02203894495454318,0.09118827597028895,0.999375,0.000625,False,M0size,10,growth,reference_screen,2022,1.0
log_size,0.09446273551529127,0.06108309973088055,0.12846201522963985,1.0,0.0,False,M0size,10,growth,reference_screen,2024,1.0
log_size,0.04744346199815752,0.016233373865084427,0.07796109032086035,0.99875,0.00125,False,M0size,20,growth,reference_screen,2022,1.0
log_size,0.07427224726562437,0.04713321206910975,0.10205984774412105,1.0,0.0,False,M0size,20,growth,reference_screen,2024,1.0
log_size,0.08994537715659975,0.0464679817813397,0.130554554643934,1.0,0.0,True,M0,1,growth,development,2022,1.0
log_size,0.18517190170184983,0.1431718751226656,0.22838695770970832,1.0,0.0,True,M0,1,growth,development,2024,1.0
log_size,0.0662331967288629,0.028051932431733546,0.10315748843490594,0.9996875,0.0003125,True,M0,5,growth,development,2022,1.0
log_size,0.12245378854133555,0.08613465199742629,0.1586932804553579,1.0,0.0,True,M0,5,growth,development,2024,1.0
log_size,0.05654491990534902,0.02203894495454318,0.09118827597028895,0.999375,0.000625,True,M0,10,growth,development,2022,1.0
log_size,0.09446273551529127,0.06108309973088055,0.12846201522963985,1.0,0.0,True,M0,10,growth,development,2024,1.0
log_size,0.04744346199815752,0.016233373865084427,0.07796109032086035,0.99875,0.00125,True,M0,20,growth,development,2022,1.0
log_size,0.07427224726562437,0.04713321206910975,0.10205984774412105,1.0,0.0,True,M0,20,growth,development,2024,1.0
early_car,-0.0013678222718258495,-0.0465227897241726,0.040859398252958895,0.475625,0.524375,True,M1,5,growth,development,2022,1.0
log_size,0.06636404426704806,0.029665929602047357,0.10392298278421037,0.9996875,0.0003125,True,M1,5,growth,development,2022,1.0
early_car,0.056588206405986025,0.004223074912838717,0.10255158672845287,0.9821875,0.0178125,True,M1,5,growth,development,2024,1.0
log_size,0.11216671158071978,0.07666603880122425,0.14791050942957717,1.0,0.0,True,M1,5,growth,development,2024,1.0
early_car,0.015636545078733025,-0.028906994352263116,0.06046831142043356,0.7528125,0.2471875,True,M1,10,growth,development,2022,1.0
log_size,0.05362525275569011,0.019409977527294935,0.08768880199642941,0.9984375,0.0015625,True,M1,10,growth,development,2022,1.0
early_car,0.03439163278347426,-0.013054639559156901,0.0792481314487427,0.9275,0.0725,True,M1,10,growth,development,2024,1.0
log_size,0.08613539626851442,0.04853180543071806,0.12116529861736978,1.0,0.0,True,M1,10,growth,development,2024,1.0
early_car,0.008263984302533105,-0.02502519966334058,0.04424295328430159,0.676875,0.323125,True,M1,20,growth,development,2022,1.0
log_size,0.04586138335183344,0.015381573512950943,0.07517360171247611,0.9984375,0.0015625,True,M1,20,growth,development,2022,1.0
early_car,0.03770994995078547,0.0012931906994246747,0.07590007231542822,0.9784375,0.0215625,True,M1,20,growth,development,2024,1.0
log_size,0.06387689566590954,0.03388056865343157,0.09470454700176728,1.0,0.0,True,M1,20,growth,development,2024,1.0
log_ti,-0.07927878547892153,-0.12070580192270984,-0.03666580297725222,0.0009375,0.9990625,True,M2,1,growth,development,2022,1.0
