day,q10,q25,q50,q75,q90,variable,group
1,0.20543689230306525,0.33592956246716504,0.6096421363150548,1.1937966717967987,2.463736307335283,daily_ti,all
2,0.03568976872153551,0.0725605906783094,0.14680756865910122,0.4135281782472288,1.243449912222471,daily_ti,all
3,0.019643708002192603,0.04123273216291155,0.08587726464205178,0.23306812995862558,0.6282444073871687,daily_ti,all
4,0.015560256689838023,0.03469861140931117,0.06788114285714286,0.17497717965643744,0.5148296648947324,daily_ti,all
5,0.013374788660735727,0.030994657346513264,0.07635620468172132,0.19226737614075345,0.6173310415808113,daily_ti,all
6,0.010455746931543452,0.02254908062298231,0.0511709392786026,0.14763517721013453,0.5260645994956306,daily_ti,all
7,0.010117237577848041,0.021081548545264103,0.04367902977686179,0.12209515831398243,0.3796426070708889,daily_ti,all
8,0.008262586174849262,0.018558368369912107,0.042239090078527275,0.10478201424981241,0.35919720418858714,daily_ti,all
9,0.006956460655840778,0.016824034364232673,0.03736706329477225,0.09168985347814727,0.3122355649627025,daily_ti,all
10,0.0075543884417122965,0.015455624045775086,0.036013953882071764,0.09546228754546016,0.2864393846153849,daily_ti,all
11,0.006601938747457967,0.014123992679117046,0.032531073908828666,0.09420210604823043,0.3031967080850798,daily_ti,all
12,0.006662419849499263,0.015064860200022546,0.03215496712764406,0.08378215404229711,0.29123703447920485,daily_ti,all
13,0.0058696199660658475,0.012668913001036602,0.029948799611409505,0.08109019832596777,0.2538191746031746,daily_ti,all
14,0.00613601348027374,0.013990497844327049,0.03026646040725708,0.07904702620174334,0.2220815963058474,daily_ti,all
15,0.00513325910901005,0.012397463546232744,0.02746005642853415,0.07352093305090532,0.2412121810660033,daily_ti,all
16,0.0054911998143196104,0.011478832446461414,0.026454363055431324,0.0744874564576191,0.22166724661541004,daily_ti,all
17,0.006553511758575405,0.013951997562554587,0.030899000000000006,0.08005379784232253,0.19498321079633918,daily_ti,all
18,0.007168542680980541,0.01530676217041023,0.03273420028067976,0.08386064936988269,0.231259030603805,daily_ti,all
19,0.0067169280634069165,0.014583432794888815,0.03219671808107935,0.07594263436627685,0.23276910426914593,daily_ti,all
20,0.00563092971402466,0.01368189892204343,0.029121934178670247,0.0732300674977516,0.22444236039631,daily_ti,all
21,0.00606050519642077,0.013513398330892835,0.027989281435519747,0.07090781292517007,0.1887425727778876,daily_ti,all
22,0.005083089912303577,0.012151425607169065,0.026974501448301623,0.0664374429638061,0.1868136934169708,daily_ti,all
23,0.005479673988952696,0.012147699328766505,0.02747476888401889,0.06853078735764821,0.192801554526534,daily_ti,all
24,0.005139253635400394,0.010980906814497116,0.025072232059070044,0.06659325319798698,0.18734574743899304,daily_ti,all
25,0.004242813539919079,0.01093583002168188,0.025111947572769657,0.06372541325325551,0.1788287113308416,daily_ti,all
26,0.004445665939278172,0.011165326614463855,0.023620835332359588,0.06696657959206068,0.16789289652275316,daily_ti,all
27,0.004437023907680138,0.01074771127919777,0.025371484326757926,0.0613959087134016,0.19351046291193227,daily_ti,all
28,0.004340538071627284,0.010712239329397102,0.02408,0.06471536363636363,0.2068298512216191,daily_ti,all
29,0.004209803661707448,0.010513104415674736,0.024087038533099285,0.061103915530209746,0.18340238005758644,daily_ti,all
30,0.003876134241104126,0.010876455645007749,0.02469107999761733,0.07001428413976547,0.18592811230680467,daily_ti,all
31,0.004064507566723781,0.010131360310465218,0.023839024892667444,0.063279961898357,0.23216656924666298,daily_ti,all
32,0.004308248676786009,0.011103823626742643,0.02401653950142138,0.06458116936313177,0.2119523433440074,daily_ti,all
33,0.004152094461975963,0.011056321158154903,0.024326661934001105,0.06377557085550505,0.1959835769395229,daily_ti,all
34,0.0037805566773824136,0.010115920435269673,0.0241668,0.0675763041357893,0.1767136656736955,daily_ti,all
35,0.003916963686879066,0.010431147247067004,0.024896300332069396,0.06643373566902157,0.1747142239339011,daily_ti,all
36,0.00411820828853954,0.010843184571602698,0.02399532242084702,0.07180694372775205,0.1998645939453126,daily_ti,all
37,0.004032483881789368,0.010428092767176805,0.024136448350106046,0.06399788221164626,0.20837726993294453,daily_ti,all
38,0.003955031263082058,0.010608062274103599,0.02303728451540452,0.06320190783242483,0.2134520726830857,daily_ti,all
39,0.003805950378616873,0.009888505386992505,0.024083304584657284,0.06431082267407363,0.20919034415079787,daily_ti,all
40,0.003519674240112305,0.009077918689425828,0.024340200753211975,0.06442595007736363,0.22670797406076798,daily_ti,all
41,0.003595206993341233,0.009971999126355114,0.024450928381962864,0.06921790426586588,0.17015017453503087,daily_ti,all
42,0.0037791359523473996,0.009676715155177432,0.021930058880493937,0.05969510482986563,0.17591835683582635,daily_ti,all
43,0.0034215170549041643,0.009296234984230371,0.022529374730587005,0.06336453398328613,0.2143196401172756,daily_ti,all
44,0.003335623172623258,0.009794020087718965,0.02200560046195984,0.06123899165288565,0.18295838122762068,daily_ti,all
45,0.0032674976564037975,0.008613980314127604,0.02229028602236793,0.0627402110475769,0.2070989118953259,daily_ti,all
46,0.0032592251227063344,0.00869841389900496,0.023164999797940254,0.06090112916085834,0.1814073964834216,daily_ti,all
47,0.0031549440494791667,0.00863146787763943,0.022508055872387356,0.058396038049451954,0.17369356199744934,daily_ti,all
48,0.0032108890498479207,0.009047576202573501,0.022266713769095284,0.059629934776538114,0.16221661653644734,daily_ti,all
49,0.002919085744449071,0.009261088175468573,0.02143540508976689,0.05572799196543011,0.17503562102446563,daily_ti,all
50,0.0031223648487995006,0.008408156968870019,0.019578686762761165,0.06061793301003145,0.1865962452538487,daily_ti,all
51,0.0029810234316706144,0.007912049549549549,0.02139812555909157,0.05853344677122649,0.19075201702607467,daily_ti,all
52,0.0025760950925888897,0.008011243885403588,0.021198465947566934,0.05839630292710181,0.18851128857597196,daily_ti,all
53,0.002735618377321603,0.007843037387943268,0.02000555081755239,0.05628923340473815,0.18595034103031874,daily_ti,all
54,0.002725205877613405,0.007472453728030518,0.02123736025238037,0.055681823022480925,0.2001527196009367,daily_ti,all
55,0.002718584542651054,0.008012368433839677,0.020728999306360883,0.05770846156569495,0.20102291752802878,daily_ti,all
56,0.0028042400478786892,0.007976909292052532,0.02116952493429184,0.052446137787901095,0.18491102082331878,daily_ti,all
57,0.0024235334045410156,0.007898556176375759,0.020194823785702518,0.05722128488983427,0.1995391652099617,daily_ti,all
58,0.002609706998858737,0.007406013400185454,0.019947617278270775,0.058897077227892405,0.18210562995751525,daily_ti,all
59,0.0027450222990247942,0.007469583121021398,0.019591577925042396,0.05690391760802466,0.18008341872722763,daily_ti,all
60,0.0026552652094205226,0.007962068873845615,0.019626307546175444,0.05771793732269369,0.1806660061990721,daily_ti,all
1,,,,,,abs_return,all
2,0.007796020689956774,0.02136618360147735,0.05527321130586804,0.12581464493335592,0.2660283027537647,abs_return,all
3,0.0057373440372623825,0.018174809438197492,0.04486928942619528,0.09450817120544919,0.18443881572206405,abs_return,all
4,0.004957915415632475,0.014819341346127723,0.037160984360726346,0.08419512497519033,0.1551424149529788,abs_return,all
5,0.005199143624695779,0.013999464648490667,0.03617968364880775,0.076282324279908,0.14480759240344696,abs_return,all
6,0.004060654259990493,0.01215085903980051,0.03179677408199888,0.07609822450552206,0.14617574764967567,abs_return,all
7,0.00372667709895369,0.012465689734354024,0.03151639574837928,0.0706648453568891,0.13340912205231129,abs_return,all
8,0.003964243151812319,0.01247089026208792,0.03173249055479266,0.066068061359154,0.12291842275088859,abs_return,all
9,0.005151257738899506,0.011906968146368824,0.030554695543516974,0.06746573472784623,0.11858345425212627,abs_return,all
10,0.003982720827400432,0.011053363425562956,0.03009797444195428,0.06138426252383855,0.11520397626638271,abs_return,all
11,0.003512040777051384,0.009773633491988676,0.02631728354661167,0.05945443779752735,0.10642587487356214,abs_return,all
12,0.0038290222002817843,0.012857899895418079,0.029871955022371832,0.06373638916648583,0.11461911063678537,abs_return,all
13,0.004330521244671016,0.012469730504138576,0.03141621715187748,0.06272082396901069,0.11141352633392453,abs_return,all
14,0.00426400362184518,0.011203154746468047,0.030656124873869484,0.06388035905754641,0.10531146603836083,abs_return,all
