ipo_id,ticker,company_name,ipo_date,ipo_proceeds,offer_price,population,mature,price_complete,volume_complete,usable,exclusion_reason,provider,source_path,split_metadata_available,listing_unit_factor,initial_return_provisional,outcome_date,initial_return_unverified
MKDTY_20191230,MKDTY,Molecular Data Inc.,2019-12-30,,5.38,True,True,True,True,False,missing_positive_proceeds,Yahoo/pilot,data/raw/yahoo/MKDTY.parquet,False,1.0,,2020-03-25,2.7228106353163306
INDO_20191219,INDO,Indonesia Energy Corporation Limited,2019-12-19,15000007.0,11.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/INDO.parquet,True,1.0,-0.0276515491561983,2020-03-17,-0.0276515491561983
MNPR_20191219,MNPR,Monopar Therapeutics Inc.,2019-12-19,8888896.0,8.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/MNPR.parquet,True,0.2,1.1977031913123406,2020-03-17,1.1977031913123406
CIIC_20191213,CIIC,CIIG Merger,2019-12-13,,10.0,True,True,False,False,False,missing_positive_proceeds;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/CIIC.parquet,False,1.0,,2020-03-11,
HCCO_20191213,HCCO,Healthcare Merger Corp,2019-12-13,,10.0,True,True,False,False,False,missing_positive_proceeds;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/HCCO.parquet,False,1.0,,2020-03-11,
OCFT_20191213,OCFT,OneConnect Financial Technology Co. Ltd.,2019-12-13,312000000.0,10.0,True,True,False,False,False,missing_split_unit_validation;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/OCFT.parquet,False,1.0,,2020-03-11,
SPT_20191213,SPT,"Sprout Social, Inc.",2019-12-13,150000010.0,17.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/SPT.parquet,True,1.0,-0.0238106257136148,2020-03-11,-0.0238106257136148
BILL_20191212,BILL,"BILL Holdings, Inc.",2019-12-12,216117638.0,22.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/BILL.parquet,True,1.0,0.4784902431230542,2020-03-10,0.4784902431230542
EH_20191212,EH,EHang Holdings Limited,2019-12-12,40000000.0,12.5,True,True,True,True,False,missing_split_unit_validation;unverified_nasdaq_adjustment,Nasdaq/historical,data/raw/check2/recovered_nasdaq_EH_20191212.parquet,False,1.0,,2020-03-10,-0.0008003201707691
XP_20191211,XP,XP Inc.,2019-12-11,1957787307.0,27.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/XP.parquet,True,1.0,0.2439623385276264,2020-03-09,0.2439623385276264
LMPX_20191205,LMPX,"LMP Automotive Holdings, Inc.",2019-12-05,11500000.0,5.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/LMPX.parquet,True,1.0,0.0695260875580137,2020-03-03,0.0695260875580137
CHPM_20191122,CHPM,CHP Merger Corp.,2019-11-22,,10.0,True,True,False,False,False,missing_positive_proceeds;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/CHPM.parquet,False,1.0,,2020-02-20,
PINE_20191122,PINE,"Alpine Income Property Trust, Inc.",2019-11-22,142500000.0,19.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/PINE.parquet,True,1.0,0.0,2020-02-20,0.0
CAN_20191121,CAN,Canaan Inc.,2019-11-21,90000000.0,9.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/CAN.parquet,True,1.0,-0.0011117543122943,2020-02-19,-0.0011117543122943
SITM_20191121,SITM,SiTime Corporation,2019-11-21,55900000.0,13.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/SITM.parquet,True,1.0,0.3608967681741467,2020-02-19,0.3608967681741467
YAYO_20191113,YAYO,"EVmo, Inc.",2019-11-13,10500000.0,4.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/YAYO.parquet,True,1.0,-0.1193467710645989,2020-02-10,-0.1193467710645989
ETNB_20191111,ETNB,"89bio, Inc.",2019-11-11,84874992.0,16.0,True,True,False,False,False,missing_split_unit_validation;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/ETNB.parquet,False,1.0,,2020-02-06,
CNSP_20191108,CNSP,"CNS Pharmaceuticals, Inc.",2019-11-08,8500000.0,4.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/CNSP.parquet,True,1.111111111111111e-06,0.1332188437862226,2020-02-05,0.1332188437862226
KRKR_20191108,KRKR,36Kr Holdings Inc.,2019-11-08,20010000.0,14.5,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/KRKR.parquet,True,0.05,-0.1045944788438218,2020-02-05,-0.1045944788438218
MOHOY_20191108,MOHOY,ECMOHO Limited,2019-11-08,,10.0,True,True,False,False,False,missing_positive_proceeds;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/MOHOY.parquet,False,1.0,,2020-02-05,
TELA_20191108,TELA,"TELA Bio, Inc.",2019-11-08,52000000.0,13.0,True,True,True,True,True,,Yahoo/pilot,data/raw/yahoo/TELA.parquet,True,1.0,0.0265670559592326,2020-02-05,0.0265670559592326
CNTG_20191107,CNTG,Centogene N.V.,2019-11-07,56000000.0,14.0,True,True,False,False,False,missing_split_unit_validation;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/CNTG.parquet,False,1.0,,2020-02-04,
GRTX_20191107,GRTX,"Galera Therapeutics, Inc.",2019-11-07,60000000.0,12.0,True,True,False,False,False,missing_split_unit_validation;incomplete_prices;incomplete_volume,Yahoo/pilot,data/raw/yahoo/GRTX.parquet,False,1.0,,2020-02-04,
XHG_20191105,XHG,XChange TEC.INC,2019-11-05,,,True,True,True,True,False,missing_positive_proceeds;missing_positive_offer_price,Yahoo/pilot,data/raw/yahoo/XHG.parquet,False,1.0,,2020-01-31,
