phase,benchmark,likelihood,kind,cutoff,n,log_score,crps,mae,rmse,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
development,growth,student,M0,1,298,-1.3982213780754298,0.4890016432058791,0.6139931980055878,0.8923846142570517,0.4161073825503356,0.36117659329714835,0.47265893813688975,0.6241610738255033,0.5681856604465109,0.6777378087114709,0.802013422818792,0.7539809202214327,0.844213174930214
development,growth,student,M0,5,298,-1.1678964713572202,0.4103262669573254,0.5197929731414465,0.7677730518289504,0.3859060402684564,0.33195404247067944,0.442062244130975,0.6442953020134228,0.5887571955730394,0.6970457993236285,0.8120805369127517,0.7648317780997838,0.853302362595953
development,growth,student,M0,10,298,-1.092183297370879,0.3918597158631267,0.49189963354047755,0.7656158838728384,0.3926174496644295,0.3384290308036961,0.4488804240261586,0.6543624161073825,0.5990817159966666,0.7066610500407597,0.825503355704698,0.7793743242398607,0.8653466167539072
development,growth,student,M0,20,298,-0.8701554953735211,0.31786680331169725,0.4025897501967667,0.6239443721964866,0.4228187919463087,0.36769985977811503,0.4794288334345197,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8489932885906041,0.8050518394908361,0.8861962655874216
development,growth,student,M1,1,298,-1.3982213780754298,0.4890016432058791,0.6139931980055878,0.8923846142570517,0.4161073825503356,0.36117659329714835,0.47265893813688975,0.6241610738255033,0.5681856604465109,0.6777378087114709,0.802013422818792,0.7539809202214327,0.844213174930214
development,growth,student,M1,5,298,-1.1605964119857801,0.41187686264972556,0.5221838974544059,0.7772090730271196,0.3825503355704698,0.3287206610745549,0.4386490407478008,0.6543624161073825,0.5990817159966666,0.7066610500407597,0.8154362416107382,0.7684591852435426,0.8563216471402284
development,growth,student,M1,10,298,-1.0784756311691204,0.39206899892534125,0.4922241278021862,0.7737768554150236,0.40268456375838924,0.34816188945906684,0.45908731464690516,0.6577181208053692,0.6025290866552511,0.7098602711467326,0.8355704697986577,0.7903414571890086,0.8743196499970514
development,growth,student,M1,20,298,-0.8549652460392595,0.31685468344568996,0.4017924101815043,0.6279900513780596,0.4463087248322148,0.39061369191853706,0.5030410595366784,0.6610738255033557,0.6059794228276782,0.7130565274745142,0.8456375838926175,0.8013643860524371,0.883236956265263
development,growth,student,M1size,10,298,-1.0841788663943088,0.3961097295527705,0.4984327558162325,0.7863827109132108,0.40604026845637586,0.3514115625725577,0.4624842238740635,0.6610738255033557,0.6059794228276782,0.7130565274745142,0.8389261744966443,0.7940093627379019,0.877298481189902
development,growth,student,M2,1,298,-1.3093919893323374,0.4552539391807271,0.578195303526841,0.8277565544635829,0.39932885906040266,0.34491490231062744,0.4556877190897703,0.6208053691275168,0.5647669227724961,0.6745099606521012,0.7986577181208053,0.7503740838304769,0.8411733384816512
