phase,threshold,cutoff,comparison,delta,lo,hi,n
development,0.0,5,M1-M0,0.007300059371440449,-0.0056938448886795535,0.02148623427493298,298
development,0.0,5,M2-M1,0.0696736490594673,0.036156764993380185,0.10930946228144715,298
development,0.0,5,M3-M2,0.042572386699284946,0.012560087174041678,0.07415836793885972,298
development,0.0,10,M1-M0,0.013707666201758294,0.0015139542363953118,0.027061030907685333,298
development,0.0,10,M2-M1,0.038258787988969034,0.007511530365059618,0.0715700611914821,298
development,0.0,10,M3-M2,0.05773644946591756,0.014871522785987043,0.09936967444437331,298
development,0.0,20,M1-M0,0.01519024933426166,0.003385678814254855,0.028249394084708102,298
development,0.0,20,M2-M1,0.025616183354201044,0.004748275995827368,0.048571503740698366,298
development,0.0,20,M3-M2,0.04354939698974903,0.010463550410922794,0.07726645067283396,298
development,500000000.0,5,M1-M0,-0.00416870943761946,-0.01983957980853125,0.007606139556503002,24
development,500000000.0,5,M2-M1,0.03564339259073288,-0.02875637484262643,0.1061217187217862,24
development,500000000.0,5,M3-M2,0.0324137005114547,0.01394402886487239,0.05206589955479696,24
development,500000000.0,10,M1-M0,0.002452228878969721,-0.003938754036628292,0.009403844562508082,24
development,500000000.0,10,M2-M1,-0.0022930219508252073,-0.080553641052541,0.05014991585936717,24
development,500000000.0,10,M3-M2,0.057551443603003995,0.032792577525052075,0.0828484265350662,24
development,500000000.0,20,M1-M0,-0.0020264999884469603,-0.014237202664812232,0.009758998623878128,24
development,500000000.0,20,M2-M1,0.0028444731814123215,-0.05250254166253635,0.04893103467644763,24
development,500000000.0,20,M3-M2,0.05213996489167252,0.027972091759460388,0.07651174933723215,24
development,1000000000.0,5,M1-M0,0.001776114766594897,-0.009474613053695834,0.012710643047521146,9
development,1000000000.0,5,M2-M1,0.01376171878905886,-0.019495998025643214,0.04856551389585596,9
development,1000000000.0,5,M3-M2,0.023297406684786928,-0.005146513687531606,0.051600792016792345,9
development,1000000000.0,10,M1-M0,0.003472244645145121,-0.0054827303282338055,0.013714861117958848,9
development,1000000000.0,10,M2-M1,0.013371364675745241,-0.017035703259286442,0.04455261796599563,9
development,1000000000.0,10,M3-M2,0.04780715157883385,0.022506107973258086,0.07241088030120664,9
development,1000000000.0,20,M1-M0,0.01004731328887978,-0.005855365992431018,0.0294563604559884,9
development,1000000000.0,20,M2-M1,-0.0006926498622006204,-0.01671394173772872,0.016857051134058942,9
development,1000000000.0,20,M3-M2,0.05977988645572415,0.04509504074695434,0.07432660746569182,9
development,2000000000.0,5,M1-M0,0.0034428394212747313,-0.003983460312436904,0.017415867847505595,3
development,2000000000.0,5,M2-M1,-0.02122350898880045,-0.06651472349154552,0.0388566614167436,3
development,2000000000.0,5,M3-M2,-0.0018684084590647927,-0.020192375622054115,0.013279442390299323,3
development,2000000000.0,10,M1-M0,0.009105269409524238,-0.00549646604749654,0.032557497166558313,3
development,2000000000.0,10,M2-M1,0.0013945720735195806,-0.047966659774290044,0.09344678084200808,3
development,2000000000.0,10,M3-M2,0.02071031152440202,-0.007009168271128685,0.03553298178647951,3
development,2000000000.0,20,M1-M0,0.021330474613913863,-0.00659471152123281,0.0414754699413161,3
development,2000000000.0,20,M2-M1,-0.0033708558605028,-0.0305050191421668,0.030241343791136202,3
development,2000000000.0,20,M3-M2,0.03975503246186087,0.032850609451346095,0.04579693912818961,3
final,0.0,5,M1-M0,0.003635566323569103,-0.011863245229332074,0.019273873998359135,244
final,0.0,5,M2-M1,-0.02954075575847621,-0.07492525144108414,0.015052628119527343,244
final,0.0,5,M3-M2,0.031926292029152224,0.002798707347461744,0.06266270630779674,244
final,0.0,10,M1-M0,0.01065914239224618,-0.0020954823988385838,0.02442037413916965,244
final,0.0,10,M2-M1,-0.0016783707815178578,-0.039161466996111644,0.03610889527643098,244
final,0.0,10,M3-M2,0.03208536076873208,-0.0020475028269428914,0.06945438817940498,244
final,0.0,20,M1-M0,0.009536539997816397,-0.00507512145450122,0.02389864144211943,244
final,0.0,20,M2-M1,-0.007276528558226469,-0.03482730308136651,0.019913669566415833,244
final,0.0,20,M3-M2,0.028357628829976597,0.0024358439473032584,0.056210535433115605,244
final,500000000.0,5,M1-M0,0.02251913573198997,0.005629069019819165,0.03936154355354447,42
final,500000000.0,5,M2-M1,0.05148484478658304,-0.04414418739359673,0.15088080564935313,42
final,500000000.0,5,M3-M2,0.01837210235844203,-0.002559858676630016,0.04176494203320878,42
final,500000000.0,10,M1-M0,0.003451912398952538,-0.01882313861766758,0.022971809776607156,42
final,500000000.0,10,M2-M1,0.10184456729341929,0.02015964590057321,0.1997011447262237,42
final,500000000.0,10,M3-M2,0.029138519497765802,-0.000767661178169274,0.059579807273751104,42
final,500000000.0,20,M1-M0,0.011900085177084366,-0.00716620243475758,0.030632084081728576,42
final,500000000.0,20,M2-M1,0.08573850064293431,0.023801377805423417,0.16701574018220483,42
final,500000000.0,20,M3-M2,0.0054349331718669385,-0.018101021313654448,0.02763140310233783,42
final,1000000000.0,5,M1-M0,0.03225928785332118,0.01066530868968834,0.055508318548098415,18
final,1000000000.0,5,M2-M1,0.056131760407645906,-0.15520927214748884,0.2719938499510692,18
final,1000000000.0,5,M3-M2,0.023111445867614367,-0.015928285364632987,0.06711634215311883,18
final,1000000000.0,10,M1-M0,0.001435138040107861,-0.045165314514529646,0.042492333900879205,18
final,1000000000.0,10,M2-M1,0.17408998876698048,0.0037840253475593458,0.37892536268695914,18
